,Reviews,Ratings
0,Very beautiful and cinematic movie with lots of classic scenes.Also extremely sad at times.Absolute 90's classic.,10
1,"Ah, yes, the film that propelled Leonardi DiCapro to super stardom, became the first film to gross $1 billion, and stayed on the top of the box office charts for 12 years (only to be kicked off the top by another James Cameron film, Avatar).It is said 'Titanic' is the film with the most continuity errors of all films. Despite this, though, the film was indeed a masterpiece. The sheer scale of the sets and entire production were simply mind blowing! The sinking of the Titanic was the greatest ship sinking scene EVER and was done with such meticulous detail that one would think they actually really sunk the ship. Off course, that was not the case, though, as it were all (very elaborate) sets, most of which were destroyed during the making of the film.Leonardo made for a very likable hero, quite frankly one a lot of guys can relate to. The young lovers were so different and yet so alike, and their love story was almost endearing. I must admit, the jumping backwards and forwards in time was a bit unnecessary and resulted in an overlong epic. They should only have told the 1912 story. Apart from that, the film was thrilling, exciting and fascinating in every sense of the word!",10
2,"Back in 1997, do I remember that year: Clinton bans cloning research, the unfortunate death of Princess Diana, the Marlins won the world series and a woman gave birth to septuplets. This was also the big year in the release of Titanic, one of the biggest films of all time: a tale about the ship of dreams, about a boy and a girl who fall in love but are torn apart by their social class and at the height of their emotional commitment the ship meets with disaster. I don't think anybody could have expected Titanic to be as HUGE as it was, the movie was bigger than life and had millions of fans, 85% of them being teenage girls, I was 12 years old at the time, and of course saw the movie multiple times. It was the film that made me believe that the love that Jack and Rose shared was so real and beautiful. At the time I felt that Titanic could do no wrong, of course I grew up and didn't watch the film since I was 14, a couple years ago I saw the film on DVD for 5.99 and figured that it was a good price and to see what I thought about the movie now. Was it worth the hype? Was it really the best movie of all time? Was that Leonardo's real nose? OK, I know that's silly to say, but I did re-watch the film. Being completely honest here, Titanic is a great movie, it delivered in romance, humor, disaster, emotions and took us on this incredible maiden voyage.The film starts with Brock Lovett and his team exploring the wreck of the RMS Titanic, searching for a necklace set with a valuable blue diamond called the Heart of the Ocean. Unsuccessful, they instead discover a drawing of a young woman wearing the Heart of the Ocean, dated the day the Titanic sank. 101-year-old Rose Dawson Calvert learns of the drawing, and contacts Lovett to inform him she is the woman in the drawing. When asked if she knew the whereabouts of the necklace, Rose Calvert recalls her memories aboard the Titanic, revealing for the first time that she was Rose DeWitt Bukater. In 1912, the upper-class 17-year-old Rose boards the ship with her controlling fiancé, Cal Hockley and her desperate for money mother, Ruth DeWitt Bukater. Distraught and frustrated by her engagement, Rose attempts suicide by jumping from the stern. Before she leaps, a drifter and artist named Jack Dawson intervenes who convinces her not to jump. Jack and Rose strike up a tentative friendship as she thanks him for saving her life, and he shares stories of his adventures traveling and sketching; their bond deepens when they leave a first-class formal dinner of the wealthy for a much livelier gathering of dancing, music and beer in third-class. After revealing their love for each other and wish to leave together when the ship docks, they then witness the ship's fatal collision with an iceberg and now must escape together.So does Titanic live up to it's hype? I still say that this is a great movie to watch, I think that there were and still are quite a few haters that for some reason just want to trash the movie because it had won a ton of awards and Leo Mania was born at the time. Everyone is entitled to an opinion, but please don't let the haters bother you from watching this great movie. It has great acting, amazing effects, beautiful costumes, outstanding sets, a well-written story and still looks flawless. Love it or hate it, you have to admit this movie didn't get a lot of hype just because of Leo's baby face or Kate's amazing ability to cry on sight, this film is something special. Otherwise I don't think we'd still be talking about it so many years later. Kate and Leo had this amazing chemistry that in my opinion made it one of the greatest love stories of all time. Despite the story not being the most original with the rich girl loves poor boy plot, I think it worked extremely well because they fit so well together. James Cameron, the extreme perfectionist that he is, went over time and money budgets for Titanic, but this was his baby and it paid off very well. James had captured everything about Titanic and the sinking so well. He respectfully shows what terror the victims went through that night and made sure that this wasn't just a love story but to remember those who lost their lives on the tragic voyage. He had every right in my opinion to scream ""I'm king of the world!"" at the Oscars, because this movie blew everyone out of the water(no pun intended), you know what? I'm going to admit it, I love Titanic, even past my teen years I absolutely adore this movie, it will always hold a special place in my heart, it has too since I saw this film 8 times in the theater when it was released. Remember one thing, be true to yourself, don't follow the crowd, lovers or haters, if you go with the hype you're always going to go crazy over a film before viewing it, then if you thought the film was just alright for some reason it comes off as the worst movie ever. I do recommend Titanic, it's a great one and sure to go down in the classics one day.10/10",10
3,"The stage curtains open ...Not since the advent of the 1995 film, ""Braveheart"", have I ever been as enthralled or emotionally invested into a movie as I was with ""Titanic"". I knew going in, just from the trailer and word-of-mouth, it was going to be good, but I had no idea the ride I was in for when the lights dimmed in the theater that night. I have never understood (and still don't understand) the negative backlash that I've read/heard when it come to this epic film. Because, it is just that - epic in every way, shape or form.We follow along as a young wayfarer named Jack (Leonardo DiCaprio) wins a ticket to board the Titanic in a game of chance. During its fateful voyage, he meets and falls for an upper-class girl named Rose (Kate Winslet). Under the thumb of her demanding fiance (Billy Zane) and her narrow-minded mother, Rose is introduced to a different side to life by Jack, and he helps her to find her own individuality and independence, alienating her from a life that she already despises. She must now decide if she'll choose to stay where she is, or leave and have a life with Jack - a decision that is further compounded when the mighty ship strikes an iceberg leading to the eye popping conclusion.What makes this film work is the love story. A lot of the negative reviews I've read complain because there is a love story. But, without it, this movie doesn't work. I am not interested in watching a biography about the Titanic, I want a good story - and this movie certainly delivers that. I was completely invested in Jack and Rose, and when the ship began to sink, I was with them both every step of the way.I highly recommend this movie at 10 stars out of 10. The event of the ship sinking alone was awe inspiring. You are right there in the scene. I could not take my eyes off the screen. The direction is tight, the special effects phenomenal, and the acting completely believable. DiCaprio and Winslet had perfect chemistry. I was affected and moved by ""Titanic"". And even knowing the outcome, I will happily get on board again and again.",10
4,"Good Lord. This movie right here, it's a masterpiece. I am not exaggerating when I say this. Tonight was the first time I watched this. I watched some parts of it earlier, but I thought it would probably be boring, and that I had better things to do. Tonight I watched the whole thing with my grandmother. I was completely wrong on that. This was the best movie that I've ever seen, and probably ever will see in my entire life. Me and my grandmother were both in tears by the end of it. There were two scenes which made me cry: the part where the orchestra played ""Nearer, My God, to Thee"" and the end when all those perished on the Titanic applaud at the kiss of Rose and Jack. This movie was absolutely amazing and I would watch it over and over again.",10
5,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",10
6,"""Based on the tragedy that spawned thousands of heartbreaking true stories, comes this fake one."" It's time to decide: was it insensitive and somewhat cheap of James Cameron to throw two made-up passengers who fall in love onto the ship? Or did these two characters offer the audience an anchor to hold onto as we are guided through the dreadful events of April 15th, 1912? Without a doubt, the latter. The fictional story of Jack and Rose never distracts from the tragic true story, it cinematically enhances it. We never ever miss the bigger picture.First of all, just look at this film. The resplendent wonder of the film's set design, both interior and exterior, places you right on board. It looks and feels the part. And when the inevitable disaster strikes, Cameron grabs onto you and drags you through each painful moment in striking detail. The sinking of the Titanic is brought to life with exquisite attention to detail and astonishing visual effects. It makes for the greatest disaster scenes in any movie I've seen.However, a Roland Emmerich or Michael Bay film this is not, as Cameron never allows the spectacle to distract us from the agony of it. Watching the Titanic being destroyed is not fun or, in its broadest sense, exciting - it's intensely distressing. Unlike most disaster films, it never feels like we're watching a crowd of extras on a film set flailing around. The lead up to the iceberg strike engages you so convincingly in the period, such that each person in front of the camera has been imbued with rich character. And when the ship sinks, it genuinely shocks you to see them go. For a good part of the sinking, Jack and Rose's fictional plight is quite sensibly placed to one side, giving us time to reflect on the truth and how it would have felt to be aboard the ship that horrifying night.So aside from its sweeping spectacle and moving depiction of real-life tragedy, what does the story of Jack and Rose bring to the table? In spite of how persuasive the film is, one must remember - it's ultimately a work of fiction, not a documentary. Like any period drama, it is an interpretation of how society worked at the time. Jack and Rose, as well as being beautifully played by DiCaprio and Winslet, are incredibly well crafted. They are a window into a much more subtle form of racism, which is still prevalent today. It's called class, and in the latter half of the movie, it becomes a tool with which to decide who lives and who dies.Titanic has pretty much anything you can ask for. It's a romance; it's a disaster movie; it's an action film; it's got a sense of humour and wit; it's a period drama; it's a tragedy. Summed up, Titanic is about as perfect a cinematic experience as you're ever likely to get.",10
7,"""Titanic"" won a bazillion Oscars and is considered a classic by many. And, it now (counting this one) has 2400 reviews. So, what more can I say about this film that hasn't already been said? Well, very little--that is why this review is rather short.I give the film a 9 because it isn't perfect. Some of the characters, to me, seemed a bit simplistic. But, no matter if you like them or not, there's no denying the awesomeness of the film. After all, it looks like you are on a huge cruise ship and the special effects of the wreck (this isn't exactly a spoiler!) are amazing. So, like the story or not, the film is staggering to watch--particularly on a big screen. And, now that I think about this, this is exactly how I viewed director Cameron's other huge success, ""Avatar"". Well worth seeing once.",9
8,"The low rating makes no sense to me at all... This movie is magnificent, so well made, the acting is superb. Anything below 9 doesn't do it any justice.",10
9,"To all the miserable people who have done everything from complain about the dialogue, the budget, the this and the that....who wants to hear it?  IF you missed the point of this beyond-beautiful movie, that's your loss.  The rest of us who deeply love this movie do not care what you think.  I am a thirthysomething guy who has seen thousands of movies in my life, and this one stands in its own entity, in my book.  It was not supposed to be a documentary, or a completely factual account of what happened that night. It is the most amazing love story ever attempted.  I know that it is the cynical 90's and the millennium has everyone in a tizzy, but come on. Someone on this comments board complained that it made too much money! How lame is that?  It made bundles of money in every civilized country on the planet, and is the top grossing film in the planet.  I will gladly side with the majority this time around. Okay, cynics, time to crawl back under your rock, I am done.",10
